Course_Coursenum,Course_Coursetitle,Course_Instructor,Course_Day,Course_Time,Course_Location
ACM 255,Cinema & Digital Media,K Fukunishi,TR,0900-1015a,BUSAD C101
ACM 255,Cinema & Digital Media,T Sanga,F,0900-1145a,WEB 203
ACM 310,"Cinematic Narrative Production
Restriction: Major",C Wang,R,0130-0530p,ARCH 101A
ACM 312,"Cinematography
Restriction: Major",A Misawa,R,0430-0715p,SAKAM D101
ACM 315,"Narrative Game Design
Restriction: Major",D Boulos,W,0300-0545p,KELL 204
ACM 350,"Screenwriting
Restriction: Major",J Moffett,M,0130-0420p,GRG 214
ACM 352,Screening Asian Americans,B Murakami,MWF,1130-1220p,MOORE 119
ACM 355,Oral Tradition to Screenplay,V Hereniko,T,0130-0415p,ARCH 101A
ACM 360,Indigenous Aesthetics,V Hereniko,W,0130-0415p,ARCH 101A
ACM 372,"Editing
Restriction: Major",G Elmore,M,0430-0715p,KELL 204
ACM 375,"Directing the Camera
Restriction: Major",J Moffett,W,0130-0415p,SAKAM C102
ACM 380,Genre/Narrative Theory,C Wang,F,0130-0420p,CR 105
ACM 410,"Advanced Cinematic Production
Restriction: Major",A Misawa,T,0430-0715p,SAKAM D101
ACM 420,"Animation Production II
Restriction: Major",L Margulies,T,0130-0415p,KELL 204
ACC 201,Intro to Financial Accounting,C Kaiama,TR,0900-1015a,CR 115
ACC 201,Intro to Financial Accounting,C Kaiama,TR,1030-1145a,CR 115
ACC 201,Intro to Financial Accounting,B Jung,TR,0130-0245p,CR 115
ACC 201,Intro to Financial Accounting,B Jung,TR,0300-0415p,BUSAD A102
ACC 201,Intro to Financial Accounting,D Yang,WF,0900-1015a,CR 115
ACC 201,Intro to Financial Accounting,D Yang,WF,1030-1145a,CR 115
ACC 202,Intro to Management Accounting,M Mitsuyasu,TR,0900-1015a,KUY 209
ACC 202,Intro to Management Accounting,M Mitsuyasu,TR,1030-1145a,KUY 209
ACC 202,Intro to Management Accounting,L Guan,WF,1200-0115p,CR 115
ACC 202,Intro to Management Accounting,L Guan,WF,0130-0245p,CR 115
ACC 321,"Intermediate Financial Acc I
Restriction: College",C Kaiama,WF,0900-1015a,BUSAD G103
ACC 321,"Intermediate Financial Acc I
Restriction: College",C Kaiama,WF,1030-1145a,BUSAD G103
ACC 323,"Intermediate Financial Acc II
Restriction: College",M Woollen,WF,1030-1145a,BUSAD D201
ACC 323,"Intermediate Financial Acc II
Restriction: College",M Woollen,WF,1200-0115p,BUSAD D201
ACC 395,"Accounting Internship
Restriction: Instructor Approval",R Varley,TBA,TBA,TBA TBA
ACC 401,"Federal Individl Income Taxatn
Restriction: College",M Woollen,TR,1030-1145a,BUSAD C101
ACC 401,"Federal Individl Income Taxatn
Restriction: College",M Woollen,TR,1200-0115p,BUSAD C101
ACC 409,"Accounting Information Systems
Restriction: College",M Sharifi,TR,1200-0115p,BUSAD D204
ACC 409,"Accounting Information Systems
Restriction: College",M Sharifi,TR,0130-0245p,BUSAD D103
ACC 413,"Law for the Accountant
Restriction: College",D Seabolt,F,0600-0845p,BUSAD D204
ACC 415,"Advanced Financial Accounting
Restriction: College",J Teruya,W,0600-0845p,BUSAD D203
ACC 418,"Auditing
Restriction: College",J Zhou,M,0600-0845p,BUSAD E204
ACC 418,"Auditing
Restriction: College",G Nishikawa,T,0600-0845p,BUSAD E204
ACC 460B,"Acc Capstone: Managerial
Restriction: Major",S Daniel,R,0900-1045a,BUSAD E204
ACC 460B,"Acc Capstone: Managerial
Restriction: Major",S Daniel,R,1100-1245p,BUSAD E204
ACC 460B,"Acc Capstone: Managerial
Restriction: Major",S Daniel,R,0100-0245p,BUSAD E204
ACC 460C,"Acc Capstone: Financial
Restriction: Major",J Teruya,T,0900-1045a,BUSAD E204
ACC 460C,"Acc Capstone: Financial
Restriction: Major",J Teruya,T,1100-1245p,BUSAD E204
ACC 460C,"Acc Capstone: Financial
Restriction: Major",J Teruya,T,0100-0245p,BUSAD E204
ACC 460D,"Acc Capstone: Auditing and AIS
Restriction: Major",T Xu,T,0900-1045a,BUSAD E204
ACC 460D,"Acc Capstone: Auditing and AIS
Restriction: Major",T Xu,T,1100-1245p,BUSAD E204
ACC 460D,"Acc Capstone: Auditing and AIS
Restriction: Major",T Xu,T,0100-0245p,BUSAD E204
ACC 460E,"Acc Capstone: Tax and Ethics
Restriction: Major",T Pearson,R,0900-1045a,BUSAD E204
ACC 460E,"Acc Capstone: Tax and Ethics
Restriction: Major",T Pearson,R,1100-1245p,BUSAD E204
ACC 460E,"Acc Capstone: Tax and Ethics
Restriction: Major",T Pearson,R,0100-0245p,BUSAD E204
ACC 616,"Accounting Theory & Developmnt
Restriction: Major",L Guan,M,0600-0845p,BUSAD D104
ACC 620,"Global Accounting
Restriction: Major",D Yang,T,0600-0845p,BUSAD D104
ACC 638,"Estate & Gift Taxation & Plng
(Estate and Gift Taxation and Planning)
Restriction: Major",K Kawafuchi,R,0600-0800p,BUSAD D104
ACC 695,"Accounting Internship
Restriction: Instructor Approval",L Higa,TBA,TBA,TBA TBA
AS 101,Foundations of U.S. Air Force,K Dembia,T,1000-1100a,AF2 5B
AS 101,Foundations of U.S. Air Force,K Dembia,F,0600-0645a,AF2 5B
AS 101L,Initial Military Training I,K Dembia,TR,0600-0700a,PE/A 241
AS 201,Evol of USAF Air & Space Power,T Odgers,T,1000-1100a,LC4 1
AS 201,Evol of USAF Air & Space Power,T Odgers,F,0600-0645a,LC4 1
AS 201L,Field Training Preparation I,K Dembia,TR,0600-0700a,PE/A 241
AS 251L,Leadership Laboratory,K Dembia,TR,0600-0700a,PE/A 241
AS 301,Air Force Leadership Studies,T Odgers,TR,0800-0930a,AF2 5B
AS 301L,Intermediate Cadet Leader I,K Dembia,TR,0600-0700a,PE/A 241
AS 401,National Security Affairs,R Carroll,TR,0800-0930a,LC4 1
AS 401L,Senior Cadet Leader I,K Dembia,TR,0600-0700a,PE/A 241
AMST 150,America and the World,J Tripp,MW,1030-1120a,BUSAD A102
AMST 150,America and the World,J Tripp,MW,1030-1120a,BUSAD A102
AMST 150,America and the World,J Tripp,MW,1030-1120a,BUSAD A102
AMST 150,America and the World,J Tripp,MW,1030-1120a,BUSAD A102
AMST 150A,"America and the World
Restriction: Honors Program Approval",J Tripp,MW,1030-1120a,BUSAD A102
AMST 201,American Exp: Inst & Movemnts,T Wray,TR,0900-1015a,MOORE 323
AMST 201,American Exp: Inst & Movemnts,T Wray,TR,1030-1145a,MOORE 323
AMST 202,Amer Exp: Culture & the Arts,J Uipi,TR,1200-0115p,MOORE 228
AMST 202,Amer Exp: Culture & the Arts,J Uipi,TR,0130-0245p,MOORE 323
AMST 211,"Contemp Amer Domestic Issues
(The Age of Trump)",R Perkinson,MW,0930-1020a,MIL 101
AMST 211,"Contemp Amer Domestic Issues
(The Age of Trump)",R Perkinson,MW,0930-1020a,MIL 101
AMST 211,Contemp Amer Domestic Issues,P Ladner,TR,1030-1145a,MOORE 328
AMST 211,Contemp Amer Domestic Issues,P Ladner,TR,0130-0245p,MOORE 328
AMST 212,Contemp Amer Global Issues,M Mostiller,MWF,1030-1120a,MOORE 328
AMST 212,Contemp Amer Global Issues,M Mostiller,MWF,1130-1220p,MOORE 328
AMST 220,Intro to Indigenous Studies,J Bennett,MWF,0930-1020a,MOORE 328
AMST 301,Hip-Hop & American Culture,P Sookkasikon,TR,0130-0245p,MOORE 423
AMST 310,Japanese Americans,D Ogawa,MW,1230-0120p,HIG 110
AMST 310,Japanese Americans,D Ogawa,MW,1230-0120p,HIG 110
AMST 310,Japanese Americans,D Ogawa,MW,1230-0120p,HIG 110
AMST 310,Japanese Americans,D Ogawa,MW,1230-0120p,HIG 110
AMST 310,Japanese Americans,D Ogawa,MW,1230-0120p,HIG 110
AMST 310,Japanese Americans,D Ogawa,MW,1230-0120p,HIG 110
AMST 318,Asian America,I Yoshinaga,MW,0130-0245p,BUSAD E203
AMST 319,"America, Hawaii & World War II",D Ogawa,M,0230-0500p,MOORE 111
AMST 343,Am Thought & Cult: To 20th C,R Rapson,TR,0900-1015a,KUY 304
AMST 344,Am Thought & Culture: 20th C,R Rapson,W,0300-0530p,SAKAM A104
AMST 345,Religion and Conflict Am Hist,K Sands,MW,0930-1020a,WEB 103
AMST 345,Religion and Conflict Am Hist,K Sands,MW,0930-1020a,WEB 103
AMST 350,Culture & the Arts in America,J Tan,TR,0130-0245p,SAKAM A102
AMST 352,Screening Asian Americans,B Murakami,MWF,1130-1220p,MOORE 119
AMST 373,"Fil Am:Hist, Culture & Politcs",L Mariano,TR,1200-0115p,MOORE 323
AMST 423,Hist of American Architecture,W Chapman,MWF,0830-0920a,MOORE 323
AMST 442,Social Movements,D Stannard,M,1230-0300p,MOORE 323
AMST 451,Popular Culture,J Valdez,TR,1030-1145a,SAKAM D102
AMST 480,"Approaches to American Studies
Restriction: Major",L Mariano,TR,0300-0415p,MOORE 323
AMST 490D,"Tpcs: Arts & Environment
(Performing in Paris: Artists, Intellectuals, and Activists)",E Colwill,TR,0900-1015a,MOORE 328
AMST 600,Approaches to American Studies,R Perkinson,M,1230-0300p,BUSAD D103
AMST 619,Slavery and the Modern Memory,E Colwill,W,1230-0300p,MOORE 328
AMST 643,Critical Traditions in America,D Stannard,R,0330-0600p,MOORE 328
AMST 675,Preservatn: Theory & Practice,W Chapman,T,0330-0600p,MOORE 328
AMST 683,"Museums: Theory,Hist,Practice",K Kosasa,W,0330-0600p,MOORE 328
AMST 684,Museums and Collections,K Kosasa,M,1230-0300p,MOORE 328
AMST 686,"Museum Studies Practicum
Restriction: Instructor Approval",K Kosasa,TBA,TBA,TBA TBA
AMST 695,"Historic Preservatn Practicum
Restriction: Instructor Approval",W Chapman,TBA,TBA,TBA TBA
ANAT 599C,"Ind Stdy: Histology
Restriction: Major",T Matsui,TBA,TBA,TBA TBA
ANAT 599D,"Ind Stdy: Rsch Anat/Dev Biol
Restriction: Major",S Lozanoff,TBA,TBA,TBA TBA
ANAT 599D,"Ind Stdy: Rsch Anat/Dev Biol
Restriction: Major",Y Marikawa,TBA,TBA,TBA TBA
ANAT 599D,"Ind Stdy: Rsch Anat/Dev Biol
Restriction: Major",V Alarcon,TBA,TBA,TBA TBA
ANAT 599D,"Ind Stdy: Rsch Anat/Dev Biol
Restriction: Major",T Matsui,TBA,TBA,TBA TBA
ANAT 604,"Upr Extremity, Head, Nck & Spi
Restriction: Major",C Stickley,T,0100-0400p,MEB TBA
ANAT 612,"Seminar in Anatomy Teaching
Restriction: Major",S Lozanoff,TBA,TBA,TBA TBA
ANAT 612,"Seminar in Anatomy Teaching
Restriction: Major",C Stickley,TBA,TBA,TBA TBA
ANSC 200,"Humans, Animals & Agriculture",B Buckley,MW,1130-1220p,AGSCI 204
ANSC 244,Comparative Nutrition,R Jha,TR,0900-1015a,AGSCI 204
ANSC 301,Anatomy of Domestic Animals,J Odani,TR,0730-0845a,AGSCI 220
ANSC 301L,Dom Anim Anatomy Laboratory,J Odani,F,0130-0420p,OFF/C TBA
ANSC 301L,Dom Anim Anatomy Laboratory,J Odani,F,0330-0620p,OFF/C TBA
ANSC 432,Swine Production,H Zaleski,MW,1230-0120p,AGSCI 220
ANSC 446,Genes and Animal Biology,J Yang,TR,1030-1145a,AGSCI 204
ANSC 450,Aquaculture Production,A Seale,TR,0300-0415p,MOORE 117
ANSC 492,"Field Experience
Restriction: Instructor Approval",H Zaleski,F,0300-0415p,AGSCI 220
ANSC 601,The Science of Food Systems,D Vincent,M,0430-0620p,AGSCI 220
ANSC 641,Seminar in Animal Science,A Seale,W,0330-0420p,AGSCI 204
ANSC 642,Advanced Animal Nutrition,R Jha,TR,0130-0245p,AGSCI 204
ANSC 657,"Grant Writing for Grd Students
Restriction: Major",J Dobbs,T,1200-0115p,AGSCI 204
ANTH 151,Emerging Humanity,B Rolett,MW,0930-1020a,CR 105
ANTH 151,Emerging Humanity,B Rolett,MW,0930-1020a,CR 105
ANTH 151,Emerging Humanity,B Rolett,MW,0930-1020a,CR 105
ANTH 151,Emerging Humanity,B Rolett,MW,0930-1020a,CR 105
ANTH 151,Emerging Humanity,B Rolett,MW,0930-1020a,CR 105
ANTH 151,Emerging Humanity,B Rolett,MW,0930-1020a,CR 105
ANTH 151,Emerging Humanity,B Rolett,TR,0900-0950a,CR 105
ANTH 151,Emerging Humanity,B Rolett,TR,0900-0950a,CR 105
ANTH 151,Emerging Humanity,B Rolett,TR,0900-0950a,CR 105
ANTH 151,Emerging Humanity,B Rolett,TR,0900-0950a,CR 105
ANTH 151,Emerging Humanity,B Rolett,TR,0900-0950a,CR 105
ANTH 151,Emerging Humanity,B Rolett,TR,0900-0950a,CR 105
ANTH 151A,"Emerging Humanity
Restriction: Honors Program Approval",N Cooper,MWF,0830-0920a,BUSAD E201
ANTH 152,Culture and Humanity,J Padwe,MW,1030-1120a,BIL 150
ANTH 152,Culture and Humanity,J Padwe,MW,1030-1120a,BIL 150
ANTH 152,Culture and Humanity,J Padwe,MW,1030-1120a,BIL 150
ANTH 152,Culture and Humanity,J Padwe,MW,1030-1120a,BIL 150
ANTH 152,Culture and Humanity,J Padwe,MW,1030-1120a,BIL 150
ANTH 152,Culture and Humanity,J Padwe,MW,1030-1120a,BIL 150
ANTH 152,Culture and Humanity,N Cooper,MW,1130-1220p,BUSAD A101
ANTH 152,Culture and Humanity,N Cooper,MW,1130-1220p,BUSAD A101
ANTH 152,Culture and Humanity,N Cooper,MW,1130-1220p,BUSAD A101
ANTH 152,Culture and Humanity,N Cooper,MW,1130-1220p,BUSAD A101
ANTH 152,Culture and Humanity,N Cooper,MW,1130-1220p,BUSAD A101
ANTH 152,Culture and Humanity,N Cooper,MW,1130-1220p,BUSAD A101
ANTH 210,Archaeology,S Quintus,TR,0900-1015a,BUSAD D103
ANTH 323,Pacific Islands Archaeology,S Quintus,TR,0130-0245p,KUY 309
ANTH 325,Origins of Cities,M Stark,TR,0900-1015a,ARCH 101A
ANTH 327,Ethnohistory,E Drechsel,MWF,1030-1120a,WAT 113
ANTH 345,"Aggression, War, & Peace",L Sponsel,W,0130-0400p,GAR 112
ANTH 350,Pacific Island Cultures,G Pigliasco,TR,1030-1145a,POST 126
ANTH 379,"Archaeology Practicum
Restriction: Instructor Approval",M Stark,TBA,TBA,TBA TBA
ANTH 380,Archaeological Lab Techniques,B Rolett,W,0130-0400p,DEAN 202
ANTH 382,How Archaeology Works,C Peterson,MW,1030-1145a,DEAN 202
ANTH 385B,"Undergrad Sem: Archaeology
(North American Archaeology)",J Bayman,TR,1200-0115p,DEAN 104
ANTH 442,Globalization in the Himalayas,J Brunson,T,0130-0400p,HOLM 248
ANTH 459,Extinctions,C Bae,T,1230-0300p,DEAN 210
ANTH 460,Asian Paleoanthropology,C Bae,W,1230-0300p,DEAN 210
ANTH 482,Anthropology & the Environment,J Padwe,M,0130-0400p,BUSAD E202
ANTH 483,Japanese Culture & Behavior,M Daigle,MWF,0830-0920a,GRG 215
ANTH 490,History of Anthropology,A Golub,TR,1030-1145a,WEB 204
ANTH 601,Ethnology,A Golub,M,0130-0400p,DEAN 104
ANTH 605,Discursive Practices,J Bilmes,T,0130-0400p,DEAN 104
ANTH 660,Paleoanthropology of Asia,C Bae,W,1230-0300p,DEAN 210
ANTH 670,"Applied Archaeology Practicum
Restriction: Instructor Approval",J Bayman,R,0300-0530p,CR 115
ANTH 695,Profs'l Skills Develop in Anth,M Stark,W,0130-0400p,DEAN 104
ARAB 101,Elem Modern Standard Arabic,A Mirza,MW,1130-0120p,WAT 113
ARAB 201,Int Modern Standard Arabic,A Mirza,MW,0930-1120a,SAKAM C301
ARCH 100,Intro to the Built Environment,S Meder,MW,1130-1245p,ARCH 205
ARCH 101,"Basic Design Studio
Restriction: Department Approval",K Sierralta,TR,0130-0530p,ARCH 210
ARCH 235,"Computer Apps in Design
Restriction: Major",L Walters,TR,0130-0530p,ARCH 302
ARCH 271,"World Arch & Urbanism A
Restriction: Major",L McGuire,TR,0900-1015a,ARCH 205
ARCH 321,"Intro to Environ Systems B
Restriction: Major",M Despang,R,0500-0745p,ARCH 215
ARCH 341,"Intermediate Design Studio A
Restriction: Major",S Bussiere,MW,0130-0530p,ARCH 308
ARCH 341,"Intermediate Design Studio A
Restriction: Major",J Noe,MW,0130-0530p,ARCH 308
ARCH 341,"Intermediate Design Studio A
Restriction: Major",K Lee,MW,0130-0530p,ARCH 308
ARCH 352,"Landscape Architecture History
Restriction: Major",A Kaufman,TR,1000-1115a,ARCH 211
ARCH 371,"Design Theory
Restriction: Major",C Bergum,TR,1200-0115p,ARCH 211
ARCH 371,"Design Theory
Restriction: Major",C Bergum,W,0900-1145a,ARCH 211
ARCH 381,"Landform and Water
Restriction: Major",M Espenan Jr.,TR,0300-0415p,ARCH 211
ARCH 415,"Concentration Design Studio
Restriction: Major",J Stilgenbauer,MW,0130-0600p,ARCH 312
ARCH 415,"Concentration Design Studio
Restriction: Major",C Ho,MW,0130-0600p,ARCH 312
ARCH 432,"Construction Project Managemnt
Restriction: Major",R Akiona,TR,1200-0115p,POST 127
ARCH 473,"Hist of American Architecture
Restriction: Major",W Chapman,MWF,0830-0920a,MOORE 323
ARCH 490,"Special Topics
Restriction: Major",L Walters,TR,1030-1145a,ARCH 305
ARCH 490,"Special Topics
Restriction: Major",S Bussiere,TR,0130-0245p,ARCH 211
ARCH 628,"Preservatn: Theory & Practice
Restriction: Major",W Chapman,T,0330-0600p,MOORE 328
ARCH 690,"Special Topics Seminar
Restriction: Major",S Meder,T,0130-0415p,ARCH 215
ARCH 690,"Special Topics Seminar
Restriction: Major",K Sierralta,TR,0600-0715p,ARCH 101A
ARCH 690,"Special Topics Seminar
Restriction: Major",C Ho,W,0615-0900p,ARCH 215
ARCH 690,"Special Topics Seminar
Restriction: Major",J Noe,R,0500-0745p,ARCH 211
ARCH 715,"Asia-Pac Arch Hist & Theory
Restriction: Major",W Chapman,W,1030-0115p,ARCH 215
ARCH 716,Arch & Urban Design Theory,L McGuire,M,1030-0115p,ARCH 215
ARCH 723,"Arch Systems II
Restriction: Major",P Miao,MW,0900-1015a,ARCH 215
ARCH 726,"Arch Sys V
Restriction: Major",S Meder,R,0130-0400p,ARCH 215
ARCH 733,"Advanced Design Com II
Restriction: Major",H Park,TR,0930-1045a,ARCH 215
ARCH 742,"Arch Studio III
Restriction: Major",H Park,MW,0130-0600p,ARCH 312
ARCH 742,"Arch Studio III
Restriction: Major",M Despang,MW,0130-0600p,ARCH 312
ARCH 744,"Arch Studio V
Restriction: Major",P Miao,MW,0130-0600p,ARCH 310
ARCH 745,"Advanced Practice
Restriction: Major",C Ho,F,0900-1145a,ARCH 215
ARCH 781,"Adv Res Methods & Des Inquiry
Restriction: Major",L McGuire,R,0530-0815p,ARCH 314
ART 104,Introduction to Printmaking,D Dempster,TR,0900-1145a,ART 301
ART 107,Introduction to Photography,P Jung,MW,0930-1215p,ART 331
ART 107,Introduction to Photography,P Jung,MW,1230-0315p,ART 331
ART 107,Introduction to Photography,M Lee,TR,0900-1145a,ART 331
ART 107,Introduction to Photography,M Lee,TR,1200-0245p,ART 331
ART 113,Introduction to Drawing,K Fong,MW,0930-1215p,ART 323
ART 113,Introduction to Drawing,K Simonsen,TR,0900-1145a,ART 366
ART 113,Introduction to Drawing,W Kawabata,TR,1200-0245p,ART 366
ART 113,Introduction to Drawing,E McIlroy,TR,0300-0545p,ART 366
ART 113,Introduction to Drawing,W Kawabata,WF,0930-1215p,ART 366
ART 113,Introduction to Drawing,W Kawabata,WF,1230-0315p,ART 366
ART 116,Intro to 3-D Composition,L Yamamoto,MW,0330-0615p,ART 121
ART 116,Intro to 3-D Composition,J Pinto Ferreira,TR,0900-1145a,ART 121
ART 116,Intro to 3-D Composition,J Pinto Ferreira,TR,1200-0245p,ART 121
ART 123,Introduction to Painting,P Cole,MW,1230-0315p,ART 314
ART 130,Introduction to Glass,R Mills,MWF,0830-1015a,ART 117
ART 175,Survey of Global Art I,K Lingley,MW,1030-1120a,ART 132
ART 175,Survey of Global Art I,K Lingley,MW,1030-1120a,ART 132
ART 175,Survey of Global Art I,K Lingley,MW,1030-1120a,ART 132
ART 175,Survey of Global Art I,K Lingley,MW,1030-1120a,ART 132
ART 175,Survey of Global Art I,K Lingley,MW,1030-1120a,ART 132
ART 175,Survey of Global Art I,K Lingley,MW,1030-1120a,ART 132
ART 175,Survey of Global Art I,K Lingley,MW,1030-1120a,ART 132
ART 175,Survey of Global Art I,K Lingley,MW,1030-1120a,ART 132
ART 175,Survey of Global Art I,K Lingley,MW,1030-1120a,ART 132
ART 175,Survey of Global Art I,K Lingley,MW,1030-1120a,ART 132
ART 175,Survey of Global Art I,K Lingley,MW,1030-1120a,ART 132
ART 175,Survey of Global Art I,K Lingley,MW,1030-1120a,ART 132
ART 201,Intro to Electronic Arts,P Chamberlain,MW,0930-1215p,ART 338
ART 202,Intro to Digital Imaging,S Groeniger,MW,0930-1215p,ART 335
ART 202,Intro to Digital Imaging,TBA,TR,0900-1145a,ART 335
ART 213,Intermediate Drawing,E McIlroy,TR,1200-0245p,ART 323
ART 214,Introduction to Life Drawing,K Fong,MW,1230-0315p,ART 323
ART 217,Screenprinting,C Cohan,TR,1200-0245p,ART 373
ART 223,Intermediate Painting,D Drexler,TR,0900-1145a,ART 314
ART 234,Cold Glass Fabrication,R Mills,TR,0900-1145a,ART 117
ART 237,Woven Structures,M Babcock,TR,0900-1145a,ART 364
ART 242,Introduction to Ceramics,S Spangler,MW,0930-1215p,ART 111
ART 242,Introduction to Ceramics,J Boggs,MW,0330-0615p,ART 111
ART 242,Introduction to Ceramics,B Taylor,TR,1200-0245p,ART 111
ART 242,Introduction to Ceramics,P Scherzer,TR,0300-0545p,ART 111
ART 265,Design: Studio I,C Lee,MW,0330-0615p,ART 360
ART 265L,Design: Studio I Lab,A Lee,F,0830-1020a,ART 336
ART 266,Design: Typography I,A Bush,TR,0300-0545p,ART 341
ART 301B,Elec Arts Stu: Imag Systems,P Chamberlain,MW,1230-0315p,ART 338
ART 305,Digital Image: Alt. Print,S Groeniger,MW,0330-0615p,ART 335
ART 313,Advanced Drawing,W Kawabata,TR,0900-1145a,ART 323
ART 322,Advanced Color,W Kawabata,MW,0930-1215p,ART 314
ART 323,Advanced Painting I,D Drexler,TR,1200-0245p,ART 320
ART 330,Advanced Glass,R Mills,TR,1200-0245p,ART 117
ART 335,Papermaking,M Soder,MW,1230-0315p,ART 306
ART 343,Ceramics-Sculpture,B Taylor,TR,0900-1145a,ART 112
ART 344,Ceramics-Vessels,S Spangler,MW,1230-0315p,ART 111
ART 352,Kinetic Sculpture,L Yamamoto,TR,0300-0545p,ART 213
ART 356,Sculpture-Metal Fabrication,L Yamamoto,MW,1230-0315p,ART 119
ART 357,Sculpture-Small Scale,J Soliven,TR,1200-0245p,ART 213
ART 360,"Exhibit Design & Gallery Mgmt
Restriction: Instructor Approval",R Bengston,W,0330-0615p,ART 101
ART 365,"Design: Studio II
Restriction: Instructor Approval",C Lee,MW,1230-0315p,ART 360
ART 365L,"Design: Studio II Lab
Restriction: Instructor Approval",A Lee,F,1030-1220p,ART 336
ART 366,"Design: Typography II
Restriction: Instructor Approval",A Bush,TR,1200-0245p,ART 341
ART 380,Early Art of Japan,J Szostak,TR,0900-1015a,ART 101
ART 395,Art-Historical Methodology,J Szostak,TR,1200-0115p,ART 101
ART 400B,"Special Topics: Studio Art
(Graduate Seminar: Methods)
Restriction: Instructor Approval",M Babcock,T,0300-0545p,ART 308
ART 400C,"Special Topics: Art History
(Life of Buddha)
Restriction: Instructor Approval",P Lavy,MWF,0930-1020a,ART 137
ART 405,"Prof. Practice in the Arts
Restriction: Instructor Approval",G Chan,T,0300-0545p,ART 335
ART 409,"Grad Portfolio (BA)
Restriction: Instructor Approval",K Lingley,TBA,TBA,TBA TBA
ART 465,"Design: Studio III
Restriction: Instructor Approval",C Lee,MW,0930-1215p,ART 360
ART 465L,"Design: Studio III Lab
Restriction: Instructor Approval",A Lee,F,1230-0220p,ART 336
ART 466,"Design: Typography III
Restriction: Instructor Approval",A Bush,TR,0900-1145a,ART 341
ART 475B,"Pac Art: Melanesia, Australia",D Waite,MWF,1030-1120a,ART 101
ART 476,Art of Tribal Africa,D Waite,MWF,0130-0220p,ART 101
ART 478,"Topics in Contemp Art
(Global Art Worlds)",J Hamilton Faris,M,0130-0420p,ART 137
ART 490B,Topics SE Asian AH: Angkor,P Lavy,MWF,1130-1220p,ART 137
ART 611,"Grad Studio Seminar in Art I
Restriction: Instructor Approval",B Taylor,R,0300-0545p,ART 308
ART 613,"Grad Studio Seminar in Art III
Restriction: Instructor Approval",B Taylor,R,0300-0545p,ART 308
ART 630,"Graduate Studio Teachg Pract
Restriction: Department Approval",G Chan,TBA,TBA,TBA TBA
ART 670,"Art Historical Methodology
Restriction: Instructor Approval",J Hamilton Faris,T,0330-0620p,ART 137
ART 690,Seminar Contemp Crit Theory,J Hamilton Faris,W,0330-0620p,ART 137
ASAN 202,Intr Asian Studies: S/SE Asia,M Aung-Thwin,MWF,1230-0120p,STJHN 11
ASAN 308,Chinese Political Economy,K Zhou,TR,0300-0415p,GRG 214
ASAN 310,Asian Humanities,A Stirr,TR,1200-0115p,MOORE 119
ASAN 320J,Asian Nation St: Japan,K Madar,TR,0130-0245p,KUY 310
ASAN 320K,Asian Nation St: Korea,Y Park,TR,0130-0245p,MOORE 111
ASAN 324,Chado-The Way of Tea Practicum,Y Ogawa,TR,0900-1015a,JAKUAN TBA
ASAN 324,Chado-The Way of Tea Practicum,Y Ogawa,TR,1030-1145a,JAKUAN TBA
ASAN 325D,Jpn Film: Art/Hist-Spec Topics,A Haag,TR,0130-0245p,BIOMD T211
ASAN 330,Chinese Film: Art & History,C Ning,MF,0130-0400p,MOORE 109
ASAN 393C,"Field Study-Asia: China
Restriction: Instructor Approval",F Lau,TBA,TBA,TBA TBA
ASAN 393I,"Field Study-Asia: South Asia
Restriction: Instructor Approval",S Bhatawadekar,TBA,TBA,TBA TBA
ASAN 393J,"Field Study-Asia: Japan
Restriction: Instructor Approval",L Carlile,TBA,TBA,TBA TBA
ASAN 393K,"Field Study-Asia: Korea
Restriction: Instructor Approval",S Lee,TBA,TBA,TBA TBA
ASAN 393P,"Field Study-Asia: Philippines
Restriction: Instructor Approval",TBA,TBA,TBA,TBA TBA
ASAN 393S,"Field Study-Asia: SE Asia
Restriction: Instructor Approval",P Abinales,TBA,TBA,TBA TBA
ASAN 406,Modern Philippines,M Lanzona,TBA,TBA,ONLINE TBA
ASAN 407,Peace Process Philippines & HI,F Magdalena,TR,0500-0615p,MOORE 206
ASAN 422,Contested Issues Korea & Japan,C Allen,T,0300-0530p,MOORE 227
ASAN 442,Globalization in the Himalayas,J Brunson,T,0130-0400p,HOLM 248
ASAN 473,Topics in CHN Cultural Studies,M Yue,R,1200-0230p,MOORE 258
ASAN 600C,"Scope & Mthds: China
Restriction: Major",C Clayton,W,0230-0500p,MOORE 253
ASAN 600J,"Scope & Mthds: Japan
Restriction: Major",L Carlile,W,0230-0500p,MOORE 102
ASAN 600K,"Scope & Mthds: Korea
Restriction: Major",Y Park,W,0230-0500p,MOORE 152
ASAN 600S,"Scope & Mthds: Southeast Asia
Restriction: Major",M Aung-Thwin,W,0230-0500p,MOORE 206
ASAN 608,Politics & Development: China,R Kwok,M,0130-0415p,SAUND 119
ASAN 612,Topics: 20thC Lit Cult St,Y Peng,R,0930-1200p,SAKAM B414
ASAN 620,"Contemp. Asia: Probs. & Issues
(S. Korea's Economy: Challenges and Prospects)",S Lee,T,1030-0115p,CKS 103A
ASAN 665,Special Topics EALit & Cul,M Yue,T,0230-0500p,MOORE 207
ASAN 686,Law and Society in China,A Conner,TR,0320-0435p,LAW SR1
